MEMNAME,APPLICATION,GROUP_NAME,MESSAGE,HANDLED,JOB_NAME,SEVERITY,ORDER_ID,USER_ID,NODE_ID,HOST_TIME,CHANGED_BY,UPD_TIME,NOTES,DATA_CENTER,SERIAL,TYPE,CLOSED_FROM_EM,TICKET_NUMBER,RUN_COUNTER,REMEDY_PROFILE
IEBD4005.sh,01G1.기간계-장중,IE1.해외자산상품처리,Ended not OK,0,IEBD4005_S01,V,283vn,hdpfm,pcua01,2020/08/04 09:40:08,,,,pctmla01,3990,R,,,2,
 ,03E2.EDW-기간계ETT,ER6.제권리,Ended not OK,0,srp32b.ett,V,28aq9,edwetl,hqit-etl03,2020/08/05 01:09:10,,,,pctmla01,3999,R,,,1,
 ,16F1.해외선물정산,ST05.손익증거금산정,Ended not OK,0,STBD0002_S01,V,2886g,hdpfm,pcua01,2020/08/05 09:01:41,,,,pctmla01,4001,R,,,1,
SPBD0281.sh,01A1.기간계-장마감,SP3.기타매매일괄매수,Ended not OK,0,SPBD0281_S01,V,2abdd,hdpfm,pcua02,2020/08/10 16:42:44,,,,pctmla01,4056,R,,,3,
 ,01A1.기간계-장마감,SP53.자동주문및보수,Ended not OK,0,SPBD1120_S02,V,2a86n,hdpfm,pcua01,2020/08/10 17:05:09,,,,pctmla01,4057,R,,,1,
 ,01A1.기간계-장마감,SR2.제권리배정,Ended not OK,0,SRBD0037_S02,V,2bbbc,hdpfm,pcua01,2020/08/13 16:06:35,,,,pctmla01,4108,R,,,1,
SPBM0148.sh,01A1.기간계-장마감,SP54.펀드자료생성,Ended not OK,0,SPBM0148_S08,V,26dfy,hdpfm,pcua01,2020/07/29 17:37:50,,,,pctmla01,3932,R,,,1,
soc55h.ett,03E4.EDW-정보계ETT,EV3.잔고이력생성,Ended not OK,0,soc55h.ett,V,26dr1,edwetl,hqit-etl03,2020/07/30 01:12:47,,,,pctmla01,3937,R,,,1,
each_run_4CNTR_M.sh,02F1.정보계-장시작전,NS1.대외보고배치,Ended not OK,0,INSTD_RSPNSBT_LIST_09,V,26css,ereport,hdaml,2020/07/30 07:31:09,,,,pctmla01,3938,R,,,1,
IOBD0005.sh,02G1.정보계-장중,IO1.OTC_BO익일평가,Ended not OK,0,IOBD0005_S02,V,26hyz,hdpfm,piua01,2020/07/30 09:51:06,,,,pctmla01,3939,R,,,1,
 ,03E2.EDW-기간계ETT,ES4.매매_여신거래,Ended not OK,0,sll62b.ett,V,26kam,edwetl,hqit-etl03,2020/07/31 01:13:04,,,,pctmla01,3948,R,,,1,
 ,03E2.EDW-기간계ETT,EZ1.조건_코드,Ended not OK,0,szz53b.ett,V,26rsr,edwetl,hqit-etl03,2020/07/31 01:20:48,,,,pctmla01,3950,R,,,1,
IPBD6020.sh,01F1.기간계-장시작전,IP01.상품PI,Ended not OK,0,IPBD6020_S02,V,26kms,hdpfm,pcua02,2020/07/31 08:30:15,,,,pctmla01,3952,R,,,1,
 ,03E2.EDW-기간계ETT,EF1.재무회계,Ended not OK,0,afr13b.ett,V,26vjo,edwetl,hqit-etl03,2020/08/01 01:13:29,,,,pctmla01,3964,R,,,1,
 ,03E4.EDW-정보계ETT,EV3.잔고이력생성,Ended not OK,0,soc04h.ett,V,28mmu,edwetl,hqit-etl03,2020/08/06 01:05:31,,,,pctmla01,4008,R,,,1,
 ,03E2.EDW-기간계ETT,EC1.업무_고객기본,Ended not OK,0,cbc28b.ett,V,28o5m,edwetl,hqit-etl03,2020/08/06 01:08:20,,,,pctmla01,4009,R,,,1,
 ,03E4.EDW-정보계ETT,EV3.잔고이력생성,Ended not OK,0,soc21h.ett,V,28mmk,edwetl,hqit-etl03,2020/08/06 01:12:38,,,,pctmla01,4010,R,,,1,
 ,03E4.EDW-정보계ETT,EV5.자산평가집계,Ended not OK,0,wra31b.ett,V,28hpy,edwetl,hqit-etl03,2020/08/06 01:22:47,,,,pctmla01,4012,R,,,1,
ADBM0022.sh,02F1.정보계-장시작전,AD1.난외계정,Ended not OK,0,ADBM0022_S01,V,28meo,hdpfm,piua02,2020/08/06 07:00:10,,,,pctmla01,4013,R,,,1,
ADBM0022.sh,02F1.정보계-장시작전,AD1.난외계정,Ended not OK,0,ADBM0022_S01,V,28meo,hdpfm,piua02,2020/08/06 08:01:51,,,,pctmla01,4014,R,,,2,
 ,03E2.EDW-기간계ETT,EA1.대고객_계좌,Ended not OK,0,saa59b.ett,V,28yo5,edwetl,hqit-etl03,2020/08/07 01:00:43,,,,pctmla01,4019,R,,,1,
